DATE,age,bmr,body_fat,e_caffeine,e_calcium,e_calories,e_carbs,e_cholesterol,e_count,e_fat,e_fiber,e_iron,e_monounsaturated_fat,e_num_drinks,e_num_foods,e_num_mealitems_green,e_num_mealitems_red,e_num_mealitems_with_score,e_num_mealitems_yellow,e_num_water,e_polyunsaturated_fat,e_potassium,e_protein,e_sat_fat,e_sodium,e_sugar,e_trans_fat,e_unsat_fat,e_vitamin_a,e_vitamin_c,gender,goal_body_weight,goal_body_weight_intent,height,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_total_calories,m_workout_count,m_workout_time,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_clinical_deep,n_count,n_deep,n_duration,n_light,n_quality,n_rem,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_clinical_deep,s_count,s_deep,s_duration,s_light,s_quality,s_rem,weight
20150115,23.063013698630137,1973.8196013698632,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,65.0,6.151479303781999,105.0,0.0,32.0,0.0,124.0,1979.9710806736452,0.0,0.0,,,,,,,,,,,,,-3242.0,4059.0,27900.0,4.0,-4815.0,0.0,1.0,17036.0,28841.0,11805.0,90.0,0.0,82.0
20150116,23.065753424657533,1973.801094520548,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,1620.0,130.98784883007062,2342.0,31440.0,905.0,27780.0,2894.0,2104.788943350619,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,82.0
20150117,23.068493150684933,1973.7825876712332,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,6.0,0.7473090291023254,11.0,20340.0,6.0,20340.0,13.0,1974.5298967003355,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,82.0
20150118,23.07123287671233,1973.764080821918,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,348.0,29.55313724254208,520.0,32400.0,200.0,32400.0,638.0,2003.3172180644601,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,82.0
20150119,23.073972602739726,1973.7455739726029,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,462.0,39.26365309934729,692.0,8460.0,246.0,4740.0,846.0,2013.0092270719501,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,82.0
20150120,23.076712328767123,1973.7270671232877,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,,,,,,,,1973.7270671232877,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0
20150121,23.07945205479452,1973.7085602739728,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,,,,,,,,1973.7085602739728,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0
20150122,23.08219178082192,1973.6900534246577,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,,,,,,,,1973.6900534246577,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0
20150123,23.084931506849315,1973.6715465753427,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,,,,,,,,1973.6715465753427,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0
20150124,23.087671232876712,1973.6530397260276,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,,,,,,,,1973.6530397260276,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0
