"","DATE","age","bmr","height","m_active_time","m_calories","m_distance","m_inactive_time","m_lcat","m_lcit","m_steps","m_total_calories","s_asleep_time","s_awake","s_awake_time","s_awakenings","s_bedtime","s_clinical_deep","s_count","s_deep","s_duration","s_light","s_quality","s_rem","weight"
"33",20150202,23.1123287671233,1973.48647808219,1.87,3687,366.299542664195,6009,26400,695,4380,7039,2339.78602074639,6479,701,28200,0,5788,0,1,10382,21891,11509,62,0,82
"34",20150203,23.1150684931507,1973.46797123288,1.87,4304,375.437423476156,6537,27180,517,6360,7902,2348.90539470903,-1562,2392,26400,2,-2589,0,1,10337,26675,16338,72,0,82
"35",20150204,23.1178082191781,1973.44946438356,1.87,4421,430.987217731016,7213,27420,866,7680,8438,2404.43668211458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
"36",20150205,23.1205479452055,1973.43095753425,1.87,3782,369.094162314225,6038,28740,527,8640,7116,2342.52511984847,4920,1069,36900,0,3854,0,1,19380,32049,12669,100,0,82
"37",20150206,23.1232876712329,1973.41245068493,1.87,4111,383.035690507771,6467,26580,499,4440,7700,2356.4481411927,5578,1703,29100,2,4464,0,1,11076,23097,12021,64,0,82
"38",20150207,23.1260273972603,1973.39394383562,1.87,2016,211.70706246849,3383,27540,530,8040,3905,2185.10100630411,8939,1345,36900,0,7828,0,1,12603,27907,15304,79,0,82
"39",20150208,23.1287671232877,1973.3754369863,1.87,3135,309.085358947055,5040,31260,428,8220,5924,2282.46079593336,17100,597,36600,0,16505,0,1,8578,19723,11145,55,0,82
"40",20150209,23.1315068493151,1973.35693013699,1.87,3855,401.060188738256,6448,27900,823,6120,7408,2374.41711887524,3058,2609,30300,1,2010,0,1,10800,25801,15001,70,0,82
"41",20150210,23.1342465753425,1973.33842328767,1.87,7754,833.113666878298,10800,24660,1170,8340,12845,2806.45209016597,3000,1677,29700,0,2282,0,1,10375,26718,16343,72,0,82
"42",20150211,23.1369863013699,1973.31991643836,1.87,5207,562.418619574577,8898,25260,1731,8820,10081,2535.73853601293,5517,1102,37200,1,5135,0,1,12062,31218,19156,84,0,82
"43",20150212,23.1397260273973,1973.30140958904,1.87,4185,419.985304365997,6849,27420,461,8880,8012,2393.28671395504,6660,2289,37500,3,5382,0,1,11857,30069,18212,81,0,82
"44",20150213,23.1424657534247,1973.28290273973,1.87,10417,1327.41927510928,9918,24480,825,6540,11727,3300.70217784901,8520,1386,26100,1,7845,0,1,5521,17044,11523,42,0,82
"45",20150214,23.1452054794521,1973.26439589041,1.87,9597,1132.11414646578,17154,20820,4796,6360,19102,3105.37854235619,3057,2669,34800,2,2350,0,1,11121,30201,19080,82,0,82
"46",20150215,23.1479452054795,1973.2458890411,1.87,7749,701.663229714068,11614,21360,2292,3060,14076,2674.90911875516,-1680,2523,31800,3,-2365,0,1,15070,31700,16630,91,0,82
"47",20150216,23.1506849315068,1973.22738219178,1.87,7211,810.601849718722,9689,24300,1284,7680,11368,2783.8292319105,5998,1252,25800,1,5030,0,1,5961,19677,13716,49,0,82
